Date,Nitrogen(MOL. %),Nitrogen(WT. %),Methane(MOL. %),Methane(WT. %),Carbon Dioxide(MOL. %),Carbon Dioxide(WT. %),Ethane(MOL. %),Ethane(WT. %),Ethane(GMP. %),Propane(MOL. %),Propane(WT. %),Propane(GMP. %),Iso-butane(MOL. %),Iso-butane(WT. %),Iso-butane(GMP. %),n-Butane(MOL. %),n-Butane(WT. %),n-Butane(GMP. %),Iso-pentane(MOL. %),Iso-pentane(WT. %),Iso-pentane(GMP. %),n-Pentane(MOL. %),n-Pentane(WT. %),n-Pentane(GMP. %),Hexanes Plus(MOL. %),Hexanes Plus(WT. %),Hexanes Plus(GMP. %),GPM TOTAL C2+,GPM TOTAL C3+,GPM TOTAL iC5+,Relative Density Real Gas,Calculated Molecular Weight,Compressibility Factor,Real Gas Dry BTU,Water Sat. Gas Base BTU
5/11/2018,0.091,0.135,87.874,74.56,1.445,3.364,6.45,10.258,1.725,2.518,5.873,0.694,0.411,1.263,0.135,0.582,1.789,0.184,0.17,0.649,0.062,0.138,0.527,0.05,0.321,1.582,0.14,2.99,1.265,0.252,0.6544,18.91,0.9972,1129,1110
9/26/2018,0.1,0.147,86.804,72.9,1.458,3.359,7.192,11.321,1.924,2.897,6.687,0.798,0.4,1.217,0.131,0.499,1.518,0.157,0.16,0.604,0.059,0.13,0.491,0.047,0.36,1.756,0.157,3.273,1.349,0.263,0.6612,19.1,0.9971,1140,1120
11/26/2018,0.108,0.159,87.298,73.452,1.574,3.633,6.557,10.341,1.754,2.768,6.402,0.763,0.448,1.366,0.147,0.598,1.823,0.189,0.172,0.651,0.063,0.143,0.541,0.052,0.334,1.632,0.146,3.114,1.36,0.261,0.6599,19.07,0.9972,1134,1115
1/17/2019,0.098,0.144,87.289,73.581,1.315,3.041,6.825,10.784,1.826,2.851,6.606,0.786,0.438,1.338,0.143,0.546,1.668,0.172,0.138,0.523,0.05,0.121,0.459,0.044,0.379,1.856,0.165,3.186,1.36,0.259,0.6587,19.03,0.9971,1139,1120
4/12/2019,0.087,0.129,87.872,74.336,1.28,2.971,6.201,9.832,1.659,2.881,6.699,0.794,0.493,1.511,0.161,0.561,1.719,0.177,0.131,0.498,0.048,0.11,0.418,0.04,0.384,1.887,0.168,3.047,1.388,0.256,0.6564,18.96,0.9972,1137,1117
4/29/2019,0.105,0.155,87.4,73.713,1.304,3.017,6.762,10.689,1.809,2.783,6.452,0.767,0.397,1.213,0.13,0.565,1.726,0.178,0.147,0.558,0.054,0.139,0.527,0.05,0.398,1.95,0.174,3.162,1.353,0.278,0.6584,19.02,0.9971,1139,1119
5/16/2019,0.091,0.134,87.688,74.129,1.227,2.846,6.49,10.283,1.736,2.873,6.676,0.792,0.429,1.314,0.14,0.538,1.648,0.17,0.134,0.509,0.049,0.128,0.487,0.046,0.402,1.974,0.175,3.108,1.372,0.27,0.6568,18.98,0.9972,1139,1119
6/7/2019,0.091,0.134,87.089,73.414,1.095,2.532,7.141,11.283,1.91,2.944,6.821,0.811,0.417,1.274,0.137,0.62,1.894,0.196,0.151,0.572,0.055,0.124,0.47,0.045,0.328,1.606,0.143,3.297,1.387,0.243,0.6587,19.03,0.9971,1145,1125
6/24/2019,0.1,0.148,87.285,73.804,1.003,2.327,7.023,11.13,1.879,3.01,6.996,0.829,0.401,1.228,0.131,0.602,1.844,0.19,0.15,0.57,0.055,0.125,0.475,0.045,0.301,1.478,0.131,3.26,1.381,0.231,0.6567,18.97,0.9972,1144,1124
7/17/2019,0.135,0.199,87.001,73.347,1.097,2.537,7.239,11.439,1.937,2.841,6.583,0.783,0.443,1.353,0.145,0.664,2.028,0.209,0.176,0.667,0.064,0.119,0.451,0.043,0.285,1.396,0.124,3.305,1.368,0.231,0.6587,19.03,0.9971,1144,1125
8/1/2019,0.101,0.148,86.726,72.645,1.033,2.374,7.26,11.398,1.942,3.071,7.071,0.846,0.433,1.314,0.142,0.692,2.1,0.218,0.176,0.663,0.064,0.169,0.637,0.061,0.339,1.65,0.148,3.421,1.479,0.273,0.6629,19.15,0.9971,1153,1133
8/16/2019,0.087,0.128,86.509,72.626,0.882,2.031,7.955,12.517,2.128,2.869,6.62,0.791,0.445,1.353,0.146,0.584,1.776,0.184,0.157,0.593,0.057,0.127,0.479,0.046,0.385,1.877,0.168,3.52,1.392,0.271,0.6615,19.11,0.9971,1155,1135
9/10/2019,0.093,0.137,87.234,73.533,1.209,2.796,7.011,11.077,1.876,2.77,6.418,0.763,0.423,1.292,0.138,0.594,1.814,0.187,0.165,0.626,0.06,0.132,0.5,0.048,0.369,1.807,0.161,3.233,1.357,0.269,0.6587,19.03,0.9971,1142,1123
9/27/2019,0.092,0.135,86.709,72.999,0.793,1.831,7.952,12.548,2.127,2.755,6.375,0.759,0.458,1.397,0.15,0.57,1.739,0.18,0.146,0.553,0.053,0.131,0.496,0.048,0.394,1.927,0.172,3.489,1.362,0.273,0.6596,19.06,0.9971,1154,1134
10/8/2019,0.086,0.128,87.78,74.671,1.151,2.686,7.016,11.186,1.877,2.367,5.534,0.652,0.405,1.248,0.133,0.557,1.717,0.176,0.158,0.604,0.058,0.13,0.497,0.047,0.35,1.729,0.153,3.096,1.219,0.258,0.6527,18.86,0.9972,1134,1115
10/24/2019,0.088,0.129,87.204,73.477,1.205,2.785,7.114,11.235,1.903,2.672,6.188,0.736,0.445,1.358,0.146,0.57,1.74,0.18,0.171,0.648,0.063,0.144,0.546,0.052,0.387,1.894,0.169,3.249,1.346,0.284,0.659,19.04,0.9971,1143,1123
11/18/2019,0.101,0.151,88.04,75.242,0.908,2.129,6.88,11.021,1.84,2.582,6.065,0.711,0.401,1.242,0.131,0.502,1.554,0.158,0.147,0.565,0.054,0.132,0.507,0.048,0.307,1.524,0.134,3.076,1.236,0.236,0.6497,18.77,0.9972,1135,1116
12/16/2019,0.103,0.153,87.734,74.677,1.108,2.587,6.978,11.133,1.867,2.591,6.062,0.714,0.399,1.23,0.131,0.498,1.536,0.157,0.14,0.536,0.051,0.12,0.459,0.044,0.329,1.627,0.144,3.108,1.241,0.239,0.6523,18.85,0.9972,1134,1115
12/30/2019,0.09,0.138,90.055,79.281,0.948,2.29,5.916,9.762,1.582,2.137,5.171,0.589,0.096,0.306,0.031,0.337,1.075,0.106,0.082,0.325,0.03,0.071,0.281,0.026,0.268,1.371,0.117,2.481,0.899,0.173,0.6306,18.22,0.9974,1105,1086
1/13/2020,0.098,0.147,88.271,75.589,1.103,2.591,6.62,10.626,1.771,2.537,5.972,0.699,0.331,1.027,0.108,0.441,1.368,0.139,0.158,0.609,0.058,0.11,0.424,0.04,0.331,1.647,0.144,2.959,1.188,0.242,0.6484,18.73,0.9972,1129,1109
1/27/2020,0.135,0.199,87.38,73.83,1.228,2.846,6.98,11.054,1.867,2.666,6.191,0.735,0.41,1.255,0.134,0.513,1.57,0.162,0.16,0.608,0.059,0.13,0.494,0.047,0.398,1.953,0.174,3.178,1.311,0.28,0.6572,18.99,0.9972,1138,1119
2/7/2020,0.101,0.15,87.895,74.906,1.103,2.579,6.823,10.899,1.825,2.581,6.046,0.711,0.405,1.25,0.133,0.506,1.562,0.16,0.151,0.579,0.055,0.111,0.425,0.04,0.324,1.604,0.141,3.065,1.24,0.236,0.6515,18.82,0.9972,1133,1114
2/24/2020,0.089,0.131,87.384,73.861,1.003,2.326,7.142,11.315,1.911,2.678,6.222,0.738,0.456,1.396,0.149,0.57,1.746,0.18,0.157,0.597,0.057,0.138,0.525,0.05,0.383,1.881,0.167,3.252,1.341,0.274,0.6569,18.98,0.9971,1145,1125
3/11/2020,0.099,0.147,87.499,74.261,1.108,2.58,6.983,11.108,1.868,2.793,6.516,0.77,0.443,1.362,0.145,0.554,1.704,0.175,0.111,0.424,0.041,0.111,0.424,0.04,0.299,1.474,0.13,3.169,1.301,0.211,0.6542,18.9,0.9972,1138,1118
3/24/2020,0.12,0.179,87.783,74.825,1.217,2.846,6.763,10.805,1.809,2.763,6.473,0.761,0.368,1.136,0.12,0.477,1.473,0.15,0.12,0.46,0.044,0.11,0.422,0.04,0.279,1.381,0.122,3.046,1.237,0.206,0.6514,18.82,0.9972,1130,1111
4/9/2020,0.1,0.149,87.735,74.803,1.097,2.566,6.979,11.153,1.867,2.692,6.309,0.742,0.399,1.232,0.131,0.499,1.541,0.157,0.1,0.383,0.037,0.1,0.383,0.036,0.299,1.481,0.13,3.1,1.233,0.203,0.6512,18.82,0.9972,1133,1114
5/12/2020,0.13,0.191,87.175,73.257,1.002,2.31,7.014,11.048,1.876,2.806,6.482,0.773,0.501,1.525,0.164,0.601,1.83,0.19,0.17,0.643,0.062,0.2,0.756,0.073,0.401,1.958,0.175,3.313,1.437,0.31,0.6608,19.09,0.9971,1150,1130
5/27/2020,0.12,0.18,88.241,75.617,1.203,2.828,6.618,10.63,1.77,2.507,5.905,0.691,0.361,1.121,0.118,0.421,1.307,0.133,0.099,0.382,0.036,0.099,0.382,0.036,0.331,1.648,0.144,2.928,1.158,0.216,0.6479,18.72,0.9972,1125,1106
6/7/2020,0.202,0.295,86.704,72.411,0.995,2.28,7.259,11.363,1.942,3.025,6.944,0.834,0.403,1.219,0.132,0.504,1.525,0.159,0.202,0.759,0.074,0.202,0.759,0.073,0.504,2.445,0.22,3.434,1.492,0.367,0.6649,19.21,0.9971,1155,1135
6/26/2020,0.1,0.147,87.579,73.904,0.995,2.303,6.768,10.704,1.811,2.687,6.232,0.74,0.498,1.522,0.163,0.597,1.825,0.188,0.199,0.755,0.073,0.199,0.755,0.072,0.378,1.853,0.165,3.212,1.401,0.31,0.6581,19.01,0.9971,1146,1127
